station,x,y
방학,959814.7,1963194.4
방화,939328.1,1953376.3
배방,960087.2,1864476.2
백마,937791,1962276.5
백석,937199,1960625
백양리,1007874.4,1981229.3
백운,929935.1,1942987
버티고개,956459,1949970.4
범계,951368.4,1932437
범골,959789.7,1970002.7
별내,967103.8,1960362.1
병점,958577.5,1912093.7
보라매,948808,1944673.3
보문,957566.3,1954101.1
보산,961068.6,1990610.6
보정,965294,1923834.3
보평,975035.6,1917823.7
복정,966996.1,1941352.5
봉명,967527.1,1867082.4
봉은사,961190.1,1946212.6
봉천,950657.2,1942723
봉화산,963933.9,1957629.4
부개,932871.6,1943520.8
부발,999104.2,1917929.7
부천,936580.2,1942997.2
부천시청,934949.6,1945295.6
부천종합운동장,937836.3,1945352.5
부평,931354.7,1943753.6
부평구청,931102.9,1945722.8
부평삼거리,930177.7,1942361.3
부평시장,931256,1944625.5
불광,949639.5,1956968.8
사가정,963666.6,1953559.6
사당,954208.1,1942086.4
사릉,971502.8,1961341.2
사평,957142.1,1945117
산본,949789.6,1928925.8
산성,969039.3,1939753.5
삼가,970558.4,1915974.5
삼각지,953440.4,1948506.1
삼동,973771.9,1934454.2
삼산체육관,933003.4,1945534.5
삼성,961384.1,1945598.9
삼성중앙,960523.4,1946065.9
삼송,946640.5,1961704.2
상갈,965330.5,1918178.3
상계,962392,1962467.8
상도,951183.3,1945025.9
상동,933993.9,1945432.9
상록수,943857.4,1922839.8
상봉,963434.5,1955202.7
상수,948974.9,1949982.2
상왕십리,958404.8,1951778.6
상월곡,960133.2,1956411.3
상일동,970577.3,1950877.2
상천,995988.4,1974486.7
상현,961833.5,1922183.4
새말,961569.4,1972225.8
새절,948244,1954804.5
샛강,949546.8,1946524.8
서강,950127.1,1950470.7
서구청,927283.3,1949722.1
서대문,952873.6,1951946.5
서동탄,960223.1,1910867.7
서부여성회관,927153.2,1944864.3
서빙고,954813.4,1946815.5
서울,953437.9,1950767.9
서울대입구,951614.1,1942585.3
서울숲,959785.1,1949476.7
서정리,960242.3,1895384.5
서초,956446.1,1943716.3
서현,966658.1,1931829.9
석계,961621,1957314.7
석남,927200.3,1945679.7
석바위시장,928544.1,1940139.6
석수,947122.2,1937518.8
석천사거리,930146,1940028.2
석촌,965199.6,1945278.4
선릉,960213.9,1945157.1
선바위,955975.2,1939290.3
선유도,946426,1948920.5
선정릉,959698.3,1945768
