code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17,r17han,p16the,p16han,p16kuk,p16jung,p16valid,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung
11180,57910,28616,32762,7596,8243,135718,0.426693585,0.210848966,0.241397604,0.055968995,0.060736232,0.426693585,1,0.185295981,0.241397604,3,0.210848966,2,0.060736232,5,0.055968995,4,0.266817961,27214,30666,31561,7131,106151,0.280572976,0.316162669,0.325390009,0.073519729,0.146120609,-0.049344708,-0.083992405,-0.012783496
11190,89975,48825,47404,15506,12699,215283,0.417938249,0.226794498,0.220193884,0.072026124,0.058987472,0.417938249,1,0.19114375,0.226794498,2,0.220193884,3,0.072026124,4,0.058987472,5,0.298820622,45789,57649,51125,16314,183766,0.266876801,0.336001675,0.297977166,0.095084586,0.151061448,-0.037181053,-0.077783281,-0.036097114
11200,102431,48954,52642,17449,14481,236792,0.432577959,0.206738403,0.222313254,0.073689145,0.061154938,0.432577959,1,0.210264705,0.222313254,3,0.206738403,2,0.073689145,4,0.061154938,5,0.280427548,47341,58341,59258,18245,198208,0.25752142,0.317358256,0.322346472,0.099247551,0.175056539,-0.036930707,-0.100033218,-0.038092613
11210,134750,54447,70154,20147,20741,301600,0.44678382,0.180527188,0.232606101,0.066800398,0.068769894,0.44678382,1,0.214177719,0.232606101,3,0.180527188,2,0.068769894,5,0.066800398,4,0.247327586,65100,63246,76339,23258,247816,0.284308927,0.276212019,0.333392614,0.101573841,0.162474893,-0.028884432,-0.100786513,-0.032803947
11220,88413,66974,55234,25307,13308,250064,0.353561488,0.267827436,0.220879455,0.101202092,0.053218376,0.353561488,1,0.085734052,0.267827436,2,0.220879455,3,0.101202092,4,0.053218376,5,0.369029528,41919,71983,55879,16394,198810,0.224413588,0.385361371,0.299148522,0.087765366,0.1291479,-0.016331843,-0.078269067,-0.03454699
11230,107960,87993,69548,31507,16599,314751,0.343001293,0.279563846,0.220961967,0.10010135,0.052736925,0.343001293,1,0.063437447,0.279563846,2,0.220961967,3,0.10010135,4,0.052736925,5,0.379665196,51993,92373,65871,18580,243821,0.226399373,0.402230863,0.286830017,0.080905128,0.11660192,-0.022565667,-0.06586805,-0.028168203
11240,153191,90218,87954,32937,21998,387595,0.395234717,0.232763581,0.226922432,0.084977876,0.056755118,0.395234717,1,0.162471136,0.232763581,2,0.226922432,3,0.084977876,4,0.056755118,5,0.317741457,75441,97915,88596,22437,305342,0.264386293,0.343147412,0.310488568,0.078631451,0.130848423,-0.025405955,-0.083566136,-0.021876332
11250,106208,60596,60294,18807,15378,262275,0.404949004,0.231039939,0.229888476,0.071707178,0.058633114,0.404949004,1,0.173909065,0.231039939,2,0.229888476,3,0.071707178,4,0.058633114,5,0.302747117,52519,67764,60891,15007,211592,0.266694318,0.344109251,0.309207786,0.076206356,0.138254686,-0.041362134,-0.07931931,-0.017573242
21010,8226,9876,4097,1571,1025,24890,0.330494174,0.396785858,0.164604259,0.063117718,0.041181197,0.396785858,2,0.066291683,0.330494174,1,0.164604259,3,0.063117718,4,0.041181197,5,0.459903576,4196,9280,3288,860,19299,0.237175711,0.524544947,0.185851701,0.048610846,0.093318463,-0.064641372,-0.021247442,-0.007429649
21020,20672,24406,10465,4227,2575,62637,0.330028577,0.389641905,0.167073774,0.067484075,0.041109887,0.389641905,2,0.059613328,0.330028577,1,0.167073774,3,0.067484075,4,0.041109887,5,0.45712598,10290,21707,8525,2384,47621,0.238708579,0.50356143,0.19776391,0.0553043,0.091319999,-0.04643545,-0.030690136,-0.014194413
21030,16522,20706,8658,3051,2073,51246,0.322405651,0.404051048,0.168949772,0.059536354,0.040451938,0.404051048,2,0.081645397,0.322405651,1,0.168949772,3,0.059536354,4,0.040451938,5,0.463587402,8147,18227,6913,1817,38978,0.231013022,0.516837407,0.196022219,0.051522114,0.091392629,-0.053250005,-0.027072448,-0.011070176
21040,26072,23640,11708,4699,2835,69251,0.376485538,0.341366912,0.169066151,0.067854616,0.040938037,0.376485538,1,0.035118626,0.341366912,2,0.169066151,3,0.067854616,4,0.040938037,5,0.409221527,13430,25013,8675,2460,54859,0.269724518,0.502354383,0.174226373,0.04940598,0.106761021,-0.093132855,-0.005160222,-0.008467943
21050,82208,74206,36107,14558,10110,218065,0.376988513,0.340293032,0.16557907,0.066759911,0.046362323,0.376988513,1,0.036695481,0.340293032,2,0.16557907,3,0.066759911,4,0.046362323,5,0.407052943,42661,67193,33092,8562,164536,0.280444758,0.441713148,0.217540093,0.056284851,0.096543755,-0.034660205,-0.051961023,-0.009922528
21060,58182,55339,26658,11391,7301,159443,0.364907835,0.347077012,0.167194546,0.071442459,0.045790659,0.364907835,1,0.017830824,0.347077012,2,0.167194546,3,0.071442459,4,0.045790659,5,0.418519471,26460,47540,26662,6896,117532,0.245124259,0.440408438,0.246995578,0.063884236,0.119783576,-0.021888967,-0.079801032,-0.018093577
21070,59480,54932,27436,11239,7356,161089,0.369236881,0.341004041,0.170315788,0.069768886,0.045664198,0.369236881,1,0.02823284,0.341004041,2,0.170315788,3,0.069768886,4,0.045664198,5,0.410772927,33229,50941,25697,6904,126455,0.283424351,0.434497573,0.219180702,0.058887168,0.085812531,-0.023724646,-0.048864914,-0.01322297
21080,73174,57006,29182,12679,8461,181257,0.403703029,0.314503716,0.16099792,0.069950402,0.046679577,0.403703029,1,0.089199314,0.314503716,2,0.16099792,3,0.069950402,4,0.046679577,5,0.384454118,44391,56022,27220,7541,147014,0.327031054,0.412717301,0.200531308,0.055554981,0.076671976,-0.028263183,-0.039533388,-0.008875405
21090,89057,74961,43072,18192,10602,236835,0.376029725,0.316511495,0.181865012,0.076812971,0.044765343,0.376029725,1,0.05951823,0.316511495,2,0.181865012,3,0.076812971,4,0.044765343,5,0.393324466,41771,66373,36429,11675,170629,0.266264339,0.423086902,0.232212387,0.074420918,0.109765386,-0.029762436,-0.050347375,-0.029655575
21100,72222,60999,32988,12993,9035,189014,0.382098681,0.322722126,0.174526755,0.06874094,0.047800692,0.382098681,1,0.059376554,0.322722126,2,0.174526755,3,0.06874094,4,0.047800692,5,0.391463066,36606,61847,27833,7621,144955,0.272245064,0.459966685,0.206998767,0.056678677,0.109853616,-0.068503619,-0.032472013,-0.008877985
21110,51878,50655,23640,11425,6828,145039,0.357683106,0.349250891,0.162990644,0.078771917,0.047076993,0.357683106,1,0.008432215,0.349250891,2,0.162990644,3,0.078771917,4,0.047076993,5,0.428022808,25601,45521,20370,7907,108548,0.256469368,0.456026799,0.204065506,0.079211878,0.101213738,-0.028003991,-0.041074862,-0.032134885
21120,25938,16512,9196,4091,2549,58499,0.443392195,0.282261235,0.157199268,0.069932819,0.043573394,0.443392195,1,0.16113096,0.282261235,2,0.157199268,3,0.069932819,4,0.043573394,5,0.352194055,10626,14461,7934,2159,38320,0.300946839,0.409560723,0.224704707,0.061146643,0.142445356,-0.057366668,-0.067505439,-0.017573248
