name,sum
대전지방법원|법원장|안철상,4342873
국민권익위원회|위원장|성영훈,4309481
서울고등법원|부장판사|이승련,4299461
경기도의회|의원|조재욱,4290202
전라남도의회|의원|김연일,4273268
인천광역시남동구|구청장|장석현,4216553
법원행정처|사법지원실장|홍승면,4215362
미래창조과학부한국전자통신연구원|원장|이상훈,4208473
대법원|대법원장|양승태,4190452
식품의약품안전처식품의약품안전평가원|원장|손여원,4179208
국회|국회의원|오세정,4165440
헌법재판소|사무처장|김용헌,4163561
한국은행|감사|하성,4162827
보건복지부한국보육진흥원|원장|서문희,4127565
경기도의회|의원|박광서,4116093
부산광역시강서구|구청장|노기태,4087781
서울특별시서울시립대학교|총장|원윤희,4086118
금융위원회주택금융공사|사장|김재천,4080251
강원도고성군|군수|윤승근,4079143
울산광역시의회|의원|송해숙,4072658
금융위원회|부위원장|정은보,4061929
국회|국회의원|최운열,4055195
국회|국회의원|신경민,4052252
국회|국회의장|정세균,4042430
법무부한국법무보호복지공단|이사장|구본민,4041047
경상남도의회|의원|최학범,4038703
광주광역시|경제부시장|김종식,4037025
제주특별자치도의회|의원|고충홍,4035897
경기도|도지사|남경필,4027618
국회|국회의원|박병석,4015358
기획재정부한국조폐공사|상임감사|안광복,4007743
강원도의회|의원|김기홍,3973559
서울고등법원|부장판사|함상훈,3953911
방송통신위원회한국교육방송공사|사장|우종범,3948817
경상북도의회|의원|이운식,3928251
부산고등법원|부장판사|김주호,3922480
부산광역시의회|의원|전봉민,3898295
강원도의회|의원|이정동,3889808
대구광역시의회|의원|이동희,3863109
전라남도순천시|시장|조충훈,3859405
서울고등법원|부장판사|김기정,3830193
인천광역시의회|의원|황인성,3803305
미래창조과학부|장관|최양희,3780223
경상북도예천군|군수|이현준,3753878
-|대통령|박근혜,3738208
세종특별자치시|시장|이춘희,3726692
외교부|제1차관|임성남,3724518
서울특별시의회|의원|유청,3708734
전라북도의회|의원|김영배,3689810
방송통신위원회|위원장|최성준,3677938
대검찰청서울남부지방검찰청|검사장|김진모,3675716
부산고등법원|법원장|황한식,3658561
충청남도의회|의원|김종필,3657969
보건복지부국립암센터|원장|이강현,3657473
서울고등법원|부장판사|김재호,3650048
국회|국회의원|나경원,3650048
대전광역시|시장|권선택,3631025
행정자치부지방행정연수원|원장|주낙영,3630008
중소기업청한국벤처투자(주)|사장|조강래,3627572
